Rank,University,Location
755,St. Mary's University,San Antonio
762,St. Norbert College,De Pere
320,St. Olaf College,Northfield
1408,St. Thomas Aquinas College,Sparkill
1713,St. Vincent's College,Bridgeport
2,Stanford University,Stanford ...
1265,State College of Florida-Manatee-Sarasota,Bradenton
638,State University of New York at Fredonia,Fredonia
457,State University of New York at New Paltz,New Paltz
347,State University of New York at Oswego,Oswego
603,State University of New York College at Plattsburgh,Plattsburgh ...
401,Stephen F. Austin State University,Nacogdoches
1245,Stephens College,Columbia
1201,Sterling College,Sterling
1573,"Sterling College, Vermont",Craftsbury Common
410,Stetson University,DeLand
289,Stevens Institute of Technology,Hoboken
940,Stevenson University,Stevenson
1719,Stillman College,Tuscaloosa
492,Stockton University,Galloway
812,Stonehill College,Easton
112,Stony Brook University,Stony Brook
466,Strayer University,Washington ...
397,Suffolk University,Boston ...
1338,Sul Ross State University,Alpine
1135,Sullivan University,Louisville ...
1229,SUNY Canton,Canton
1376,SUNY Cobleskill,Cobleskill
1347,SUNY College at Old Westbury,Old Westbury
486,SUNY College at Oneonta,Oneonta
480,SUNY College of Environmental Science and Forestry,Syracuse
1398,SUNY College of Optometry,New York City
477,SUNY Cortland,Cortland
1253,SUNY Delhi,Delhi
642,SUNY Downstate Medical Center,Brooklyn
560,SUNY Empire State College,Saratoga Springs
453,SUNY Geneseo,Geneseo
1091,SUNY Maritime College,Throggs Neck
715,SUNY Polytechnic Institute,Utica
501,SUNY Upstate Medical University,Syracuse
740,Susquehanna University,Selinsgrove
165,Swarthmore College,Swarthmore
565,Sweet Briar College,Sweet Briar
118,Syracuse University,Syracuse
1252,Tabor College,Hillsboro
1624,Talladega College,Talladega
585,Tarleton State University,Stephenville ...
811,Taylor University,Upland ...
83,Temple University,Philadelphia ...
569,Tennessee State University,Nashville
419,Tennessee Technological University,Cookeville
1706,Tennessee Wesleyan University,Athens ...
854,Texas A&M International University,Laredo
38,Texas A&M University,College Station
950,Texas A&M University at Galveston,Galveston
690,Texas A&M University-Commerce,Commerce
472,Texas A&M University-Corpus Christi,Corpus Christi
682,Texas A&M University-Kingsville,Kingsville
1277,Texas A&M University-Texarkana,Texarkana
326,Texas Christian University,Fort Worth
1630,Texas College,Tyler
1414,Texas Lutheran University,Seguin
794,Texas Southern University,Houston
191,Texas State University,San Marcos ...
124,Texas Tech University,Lubbock
510,Texas Tech University Health Sciences Center,Lubbock ...
1236,Texas Wesleyan University,Fort Worth
475,Texas Woman's University,Denton ...
935,The American College of Financial Services,Bryn Mawr
Un,The Art Institute of Pittsburgh,Pittsburgh ...
1667,The Baptist College of Florida,Graceville ...
306,The Catholic University of America,Washington
1195,The Chicago School of Professional Psychology,Los Angeles ...
627,"The Citadel, The Military College of South Carolina",Charleston
526,The City College of New York,New York City
829,The College at Brockport,Brockport
1419,The College of Idaho,Caldwell
352,The College of New Jersey,Ewing
1212,The College of New Rochelle,New Rochelle
820,The College of Saint Rose,Albany
698,The College of St. Scholastica,Duluth ...
1728,The College of Westchester,White Plains
545,The College of Wooster,Wooster
481,The Cooper Union for the Advancement of Science and Art,New York City
427,The Culinary Institute of America,Hyde Park
338,The Evergreen State College,Olympia
518,"The Graduate Center, CUNY",New York City
1535,The Institute of World Politics,Washington
847,The John Marshall Law School,Chicago
618,The Juilliard School,New York City
1638,The King's College,New York City
1769,The King's University,Southlake
1169,The Master's University,Santa Clarita
1790,The National Graduate School of Quality Management,Falmouth ...
153,The New School,New York City
42,The Ohio State University,Columbus ...
316,The Rockefeller University,New York City
890,The Sage Colleges,Troy ...
1604,The School of Architecture at Taliesin,Scottsdale
599,The State University of New York at Potsdam,Potsdam
114,The University of Alabama,Tuscaloosa ...
310,The University of Alabama in Huntsville,Huntsville ...
36,The University of Arizona,Tucson
684,The University of Findlay,Findlay
222,The University of Maine,Orono
213,The University of Memphis,Memphis ...
232,The University of Montana,Missoula
1607,The University of Montana Western,Dillon
94,The University of Oklahoma,Norman ...
605,The University of Oklahoma Health Sciences Center,Oklahoma City
604,The University of Tampa,Tampa
438,The University of Tennessee at Chattanooga,Chattanooga
117,The University of Tennessee at Martin,Martin ...
731,The University of Tennessee Health Science Center,Memphis
90,"The University of Tennessee, Knoxville",Knoxville ...
132,The University of Texas at Arlington,Arlington
14,The University of Texas at Austin,Austin
95,The University of Texas at Dallas,Richardson
235,The University of Texas at El Paso,El Paso
196,The University of Texas at San Antonio,San Antonio
759,The University of Texas at Tyler,Tyler
479,The University of Texas Health Science Center at Houston,Houston
303,The University of Texas Health Science Center at San Antonio,San Antonio
1522,The University of Texas Health Science Center at Tyler,Tyler
195,The University of Texas MD Anderson Cancer Center,Houston
